Dataset,Method,Hardness,Spearman Rho,p-value,low_recall
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,correlation,0.28484848484848485,0.42503815489214547,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9636363636363635,7.320974809529922e-06,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,selectivity,-0.9515151515151514,2.279854920641689e-05,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,correlation,-0.49090909090909085,0.14965567342083677,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9272727272727272,0.00011203450639397582,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,selectivity,0.9151515151515152,0.0002044724061488323,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,correlation,0.3696969696969697,0.2930500752928223,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,Post_Hardness,-0.8666666666666665,0.0011735381801554687,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,selectivity,0.9515151515151514,2.279854920641689e-05,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,correlation,0.18787878787878787,0.603217610029209,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,Post_Hardness,-0.9151515151515152,0.0002044724061488323,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,selectivity,0.9636363636363635,7.320974809529922e-06,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,correlation,0.29696969696969694,0.4047016712701569,0
