Dataset,Method,Hardness,Spearman Rho,p-value,low_recall
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,selectivity,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,correlation,0.0303030303030303,0.9337729580941466,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,selectivity,-0.6969696969696969,0.02509667588225183,0
glove1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,correlation,0.2727272727272727,0.44583834154275137,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,post_filter,correlation,0.9272727272727272,0.00011203450639397582,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,selectivity,0.7696969696969697,0.009221952722215994,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,nhq,correlation,0.9151515151515152,0.0002044724061488323,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,Post_Hardness,-0.9030303030303028,0.00034361219776328223,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,selectivity,0.8181818181818182,0.0038149200825507135,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,rwalks,correlation,0.9151515151515152,0.0002044724061488323,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,Post_Hardness,-0.7818181818181817,0.007547007781067878,0
glove1m_A3_12_12_12_zipf_0.0_0.0_0.0_0.5_0.5_0.5,ACORN,selectivity,0.709090909090909,0.021665923367532435,0
